threshold,precision,recall,f1
0.0045572277,0.012700986353195514,0.9591836734693877,0.02507000933199842
0.004558662,0.012702702702702703,0.9591836734693877,0.025073352891525232
0.004560833,0.012704419516150832,0.9591836734693877,0.025076697343024704
0.0045615733,0.012706136793728035,0.9591836734693877,0.02508004268685382
0.00456182,0.012707854535622549,0.9591836734693877,0.02508338892336975
0.004562253,0.012709572742022715,0.9591836734693877,0.025086736052929853
0.0045625237,0.01271129141311697,0.9591836734693877,0.025090084075891677
0.0045626173,0.01271301054909386,0.9591836734693877,0.02509343299261297
0.0045626904,0.012714730150142026,0.9591836734693877,0.025096782803451664
0.0045631803,0.012716450216450216,0.9591836734693877,0.02510013350876588
0.0045634205,0.01271817074820728,0.9591836734693877,0.02510348510891394
0.0045648376,0.012719891745602166,0.9591836734693877,0.025106837604254344
0.0045649065,0.012721613208823928,0.9591836734693877,0.025110190995145793
0.004564909,0.012723335138061722,0.9591836734693877,0.025113545281947182
0.004567614,0.012725057533504806,0.9591836734693877,0.025116900465017584
0.0045693074,0.01272678039534254,0.9591836734693877,0.025120256544716283
0.004571392,0.012728503723764387,0.9591836734693877,0.025123613521402736
0.004573862,0.012730227518959913,0.9591836734693877,0.025126971395436612
0.0045754127,0.012731951781118786,0.9591836734693877,0.02513033016717775
0.0045758015,0.012733676510430777,0.9591836734693877,0.025133689836986203
0.0045769024,0.01273540170708576,0.9591836734693877,0.025137050405222197
0.004577237,0.012740580103008945,0.9591836734693877,0.025147137504100713
0.004577435,0.012742307170936695,0.9591836734693877,0.025150501669653103
0.0045779278,0.01274403470715835,0.9591836734693877,0.025153866735437114
0.0045780106,0.012745762711864407,0.9591836734693877,0.025157232701814133
0.004578054,0.012747491185245458,0.9591836734693877,0.025160599569145754
0.0045789145,0.012749220127492201,0.9591836734693877,0.02516396733779375
0.004579271,0.012750949538795442,0.9591836734693877,0.025167336008120097
0.0045793275,0.012752679419346087,0.9591836734693877,0.02517070558048697
0.004579495,0.012754409769335142,0.9591836734693877,0.025174076055256723
0.0045807343,0.012756140588953725,0.9591836734693877,0.02517744743279192
0.004581808,0.012757871878393051,0.9591836734693877,0.025180819713455302
0.004582067,0.012759603637844442,0.9591836734693877,0.025184192897609817
0.0045828065,0.012761335867499321,0.9591836734693877,0.025187566985618616
0.004583,0.01276306856754922,0.9591836734693877,0.025190941977845018
0.0045831506,0.012764801738185769,0.9591836734693877,0.025194317874652563
0.0045833616,0.012766535379600706,0.9591836734693877,0.025197694676404963
0.0045847236,0.012768269491985873,0.9591836734693877,0.02520107238346615
0.0045851176,0.012770004075533215,0.9591836734693877,0.02520445099620023
0.004586271,0.012771739130434783,0.9591836734693877,0.025207830514971514
0.004587035,0.012773474656882729,0.9591836734693877,0.025211210940144505
0.0045884154,0.012775210655069312,0.9591836734693877,0.02521459227208391
0.0045904242,0.012776947125186898,0.9591836734693877,0.02521797451115462
0.0045909253,0.01277868406742795,0.9591836734693877,0.025221357657721717
0.004592004,0.012780421481985044,0.9591836734693877,0.025224741712150507
0.0045931223,0.012782159369050857,0.9591836734693877,0.02522812667480646
0.0045939353,0.01278389772881817,0.9591836734693877,0.025231512546055268
0.0045945724,0.012785636561479869,0.9591836734693877,0.025234899326262793
0.0045956387,0.012787375867228949,0.9591836734693877,0.02523828701579512
0.004595685,0.012789115646258504,0.9591836734693877,0.025241675615018513
0.004595774,0.012790855898761735,0.9591836734693877,0.02524506512429944
0.0045968127,0.012792596624931955,0.9591836734693877,0.025248455544004563
0.004597509,0.01279433782496257,0.9591836734693877,0.02525184687450074
0.004601076,0.0127960794990471,0.9591836734693877,0.02525523911615503
0.004601347,0.01279782164737917,0.9591836734693877,0.025258632269334686
0.004604149,0.012799564270152506,0.9591836734693877,0.02526202633440716
0.0046049994,0.012801307367560943,0.9591836734693877,0.02526542131174011
0.00460831,0.01280305093979842,0.9591836734693877,0.025268817201701366
0.004608365,0.012804794987058984,0.9591836734693877,0.025272214004658986
0.004608763,0.012806539509536785,0.9591836734693877,0.02527561172098121
0.004610314,0.01280828450742608,0.9591836734693877,0.02527901035103648
0.0046127588,0.012810029980921232,0.9591836734693877,0.025282409895193425
0.004613547,0.01281177593021671,0.9591836734693877,0.025285810353820895
0.0046141976,0.012813522355507088,0.9591836734693877,0.02528921172728792
0.004614338,0.012815269256987049,0.9591836734693877,0.025292614015963732
0.0046154154,0.012817016634851377,0.9591836734693877,0.025296017220217765
0.0046162875,0.012818764489294967,0.9591836734693877,0.025299421340419657
0.0046171593,0.01282051282051282,0.9591836734693877,0.025302826376939234
0.004619878,0.012822261628700041,0.9591836734693877,0.02530623233014653
0.004620103,0.012824010914051841,0.9591836734693877,0.025309639200411765
0.0046211057,0.012825760676763541,0.9591836734693877,0.025313046988105374
0.0046218317,0.012827510917030568,0.9591836734693877,0.025316455693597986
0.0046231416,0.012829261635048451,0.9591836734693877,0.025319865317260427
0.004623831,0.01283101283101283,0.9591836734693877,0.02532327585946373
0.00462551,0.012832764505119453,0.9591836734693877,0.025326687320579112
0.004625769,0.012834516657564172,0.9591836734693877,0.02533009970097801
0.0046258303,0.012836269288542947,0.9591836734693877,0.025333513001032048
0.004626076,0.012838022398251844,0.9591836734693877,0.025336927221113054
0.0046292148,0.012839775986887037,0.9591836734693877,0.025340342361593056
0.0046300236,0.012841530054644808,0.9591836734693877,0.025343758422844285
0.0046312828,0.012843284601721546,0.9591836734693877,0.025347175405239175
0.0046333717,0.012845039628313747,0.9591836734693877,0.025350593309150352
0.0046337806,0.012846795134618012,0.9591836734693877,0.025354012134950643
0.0046345834,0.012848551120831055,0.9591836734693877,0.025357431883013093
0.0046353866,0.012850307587149692,0.9591836734693877,0.025360852553710928
0.0046355845,0.01285206453377085,0.9591836734693877,0.025364274147417584
0.004635842,0.012853821960891562,0.9591836734693877,0.025367696664506702
0.0046359366,0.012855579868708972,0.9591836734693877,0.02537112010535212
0.0046367375,0.012857338257420326,0.9591836734693877,0.02537454447032788
0.004637248,0.012859097127222982,0.9591836734693877,0.02537796975980822
0.0046388223,0.012860856478314408,0.9591836734693877,0.02538139597416759
0.004640196,0.012862616310892173,0.9591836734693877,0.025384823113780635
0.0046402905,0.012864376625153962,0.9591836734693877,0.0253882511790222
0.004640535,0.012866137421297564,0.9591836734693877,0.025391680170267345
